Specimen,Femur length [mm],Stiffness [N/mm],Yield Stiffness [N/mm],Max Load [N],Yield Load [N],Fracture Load [N],Post-yield Deflection [mm],Disp at Yield [mm],Disp at Fx [mm],Disp at Max Load [mm],Total Work [N-mm],Work to Yield [N-mm],Work Post-yield [N-mm]
DO-308,15.14,140.588,126.53,25.86,23.15,25.65,0.048,0.181,0.229,0.229,6.42,2.3,4.12
DO-309,16.31,191.476,172.33,33.56,30.83,33.47,0.035,0.179,0.213,0.212,7.69,3,4.69
DO-310,15.94,198.662,178.8,45.49,37.1,44.87,0.094,0.235,0.329,0.312,15.92,4.54,11.38
DO-311,14.94,187.265,168.54,54.14,40.95,47.48,0.243,0.248,0.49,0.405,29.03,5.46,23.57
DO-312,16.5,184.937,166.44,46.83,44.89,46.46,0.014,0.286,0.3,0.299,14.46,6.83,7.63
DO-313,16.03,266.868,240.18,51.06,34.06,49.68,0.304,0.141,0.445,0.441,61.86,7.73,54.13
DO-314,15.43,199.517,179.57,22.82,16.85,22.09,0.195,0.092,0.288,0.258,16.66,2.47,14.19
DO-315,15.68,287.151,258.44,30.26,15.91,30.2,0.3,0.076,0.376,0.373,28.46,0.68,27.78
DO-316,15.05,289.262,260.34,27.63,20.25,26.19,0.179,0.08,0.259,0.234,18.15,2.36,15.79
DO-317,14.43,207.768,186.99,25.62,17.03,25.09,0.237,0.09,0.326,0.318,20.37,0.75,19.62
DO-318,16.84,287.352,258.62,51.39,35.76,50.47,0.308,0.137,0.446,0.428,54.87,8.19,46.68
DO-319,15.86,256.718,231.05,51.58,27.52,50.06,0.268,0.117,0.385,0.367,48.34,4.94,43.4
DO-320,15.52,222.876,200.59,37.98,15.18,37.71,0.483,0.076,0.559,0.537,51.17,1.61,49.56
DO-321,16.34,223.233,200.91,30.34,22.12,23.73,0.404,0.108,0.512,0.228,38.51,3.62,34.89
DO-322,15.05,236.97,213.27,43.48,20.74,42.8,0.361,0.102,0.463,0.427,48.64,1.1,47.54
DO-323,15.18,187.957,169.16,33.47,22.86,28.47,0.393,0.137,0.53,0.344,44.57,4.49,40.08
DO-324,15.76,244.276,219.85,48.25,33.29,48.17,0.203,0.154,0.358,0.352,37.91,7.44,30.47
DO-325,16.34,235.145,211.63,37.62,18.63,29.49,0.554,0.087,0.641,0.379,58.28,2.39,55.89
DO-326,15.79,229.466,206.52,36.82,22.4,36.49,0.192,0.106,0.298,0.299,24.79,3.47,21.32
DO-327,15.57,234.749,211.27,33.09,19.41,30.96,0.381,0.092,0.472,0.4,40.11,2.43,37.68
DO-328,14.91,167.72,150.95,25.03,10.03,24.61,0.271,0.067,0.338,0.331,19.83,0.95,18.88
DO-329,14.55,199.729,179.76,40.44,22.68,40.08,0.196,0.13,0.326,0.318,28.94,4.39,24.54
DO-330,14.69,111.874,100.69,22.49,17.93,21.96,0.091,0.179,0.27,0.27,12.86,4.82,8.04
DO-331,14.86,188.369,169.53,32.58,19.44,32.11,0.323,0.114,0.438,0.388,33.6,3.16,30.44
DO-332,15.63,217.422,195.68,34.77,20.6,34.49,0.223,0.103,0.326,0.319,26.83,3.35,23.49
DO-333,14.93,194.378,174.94,27.83,15.7,21.96,0.625,0.091,0.716,0.298,48.55,1.96,46.59
DO-334,16.21,231.69,208.52,37.16,22.49,34.27,0.344,0.126,0.47,0.431,42.46,4.13,38.33
DO-335,14.38,146.89,132.2,16.79,16.35,14.74,0.06,0.123,0.183,0.127,6.99,2.99,4
DO-336,15.5,228.372,205.53,28.1,21.99,26.47,0.146,0.106,0.252,0.212,16.73,3.39,13.34
DO-337,15.16,162.327,146.09,31.11,29.51,30.99,0.011,0.172,0.182,0.182,10.84,6.99,3.86
DO-338,15.39,263.638,237.27,44.97,41.24,44.69,0.059,0.175,0.234,0.234,28.51,15.83,12.68
DO-339,14.74,220.975,198.88,29.83,19.72,29.76,0.214,0.097,0.311,0.31,40.22,6.36,33.86
DO-340,14.75,174.67,157.2,30.96,22.79,29.98,0.162,0.15,0.312,0.277,35.06,9.36,25.71
DO-341,15.24,206.354,185.72,48.41,40.89,33.39,0.445,0.245,0.69,0.341,155.28,32.92,122.36
DO-342,14.36,218.356,196.52,38.2,25.06,34.98,0.092,0.122,0.214,0.201,38.54,11.41,27.12
DO-343,14.96,269.352,242.42,39.95,31.93,38.07,0.087,0.152,0.238,0.224,41.03,18.29,22.75
DO-344,16.03,253.186,227.87,43.14,37.26,42.36,0.072,0.182,0.254,0.248,22.57,9.57,13
DO-345,15.66,245.309,220.78,44.53,23.74,44.25,0.136,0.104,0.24,0.239,39.22,5.18,34.04
DO-346,15.74,295.39,265.85,42.21,26.49,42.21,0.113,0.095,0.208,0.208,18.9,4.27,14.63
DO-347,15.85,281.098,252.99,38.65,34.34,38.58,0.066,0.141,0.207,0.205,25.53,5.25,20.28
DO-348,16.29,288.111,259.3,35.4,18.87,34.95,0.309,0.071,0.38,0.376,35.34,2.02,33.33
DO-349,17.34,283.796,255.42,44.96,23.58,44.7,0.273,0.091,0.364,0.363,39.69,3.25,36.45
DO-350,15.52,249.07,224.16,36.02,30.85,35.8,0.059,0.131,0.191,0.192,22.99,2.92,20.06
DO-351,15.88,304.045,273.64,24.47,20.7,24.14,0.046,0.076,0.121,0.12,6.71,2.36,4.34
DO-352,14.98,271.467,244.32,37.64,22.51,34.14,0.163,0.095,0.258,0.242,21.01,2.86,18.14
DO-353,15.29,201.654,181.49,33.73,28.31,33.29,0.108,0.199,0.308,0.299,22.05,7.14,14.92
DO-354,16.67,297.764,267.99,39.67,20.93,39.31,0.194,0.077,0.271,0.268,24.76,2.83,21.93
DO-355,14.37,212.083,190.87,33.72,22.85,33.47,0.123,0.12,0.243,0.24,19.29,4.74,14.55
DO-356,14.66,211.002,189.9,39.31,17.77,38.32,0.288,0.09,0.377,0.352,36.55,2.4,34.15
DO-357,14.99,258.375,232.54,31.18,20.42,31,0.25,0.089,0.339,0.337,25.34,2.92,22.42
DO-358,15.78,190.846,171.76,33.37,14.94,33,0.351,0.087,0.438,0.429,35.82,1.98,33.84
DO-359,16.16,282.484,254.24,47.09,21.83,43.45,0.404,0.085,0.489,0.393,60.08,2.65,57.44
DO-360,15.57,259.367,233.43,35.88,19.81,35.69,0.186,0.081,0.268,0.266,22.92,2.47,20.45
DO-361,13.53,156.56,140.9,22.19,20.46,21.82,0.019,0.201,0.22,0.219,8.85,5.14,3.71
DO-362,15.43,280.528,252.48,52.08,22.2,49.47,0.21,0.09,0.3,0.275,35.33,3.32,32.01
DO-363,15.4,311.042,279.94,46.57,39.45,43.24,0.114,0.142,0.256,0.228,26.84,7.5,19.35
DO-364,14.34,257.142,231.43,31.6,24.01,31.6,0.277,0.106,0.382,0.382,31.6,4.02,27.59
